nama_destinasi,alamat,website,google_link,longitude,latitude,review_total,average_rating,letak_provinsi,kategori
Sendang Cupak,"J894+CVH, Cupak, Kec. Ngusikan, Kabupaten Jombang, Jawa Timur 61454",Tidak Tersedia,"https://www.google.com/maps/place/Sendang+Cupak/@-7.3814303,112.3072199,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78176863c108e1:0xcb387147e80793ff!8m2!3d-7.3814303!4d112.3072199!16s%2Fg%2F11c2q2w6_4?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.307,-7.381,57,4.5,Jawa Timur,Wisata Alam
Taman Brantas Indah,"No., Jl. Mager Sari-Ngares Kidul No.14, Lorsari, Mlirip, Kec. Jetis, Kabupaten Mojokerto, Jawa Timur 61352",Tidak Tersedia,"https://www.google.com/maps/place/Taman+Brantas+Indah/@-7.4564148,112.4373694,17z/data=!3m1!4b1!4m6!3m5!1s0x2e780df0f018a6d7:0xbe3932f4c1b9563b!8m2!3d-7.4564148!4d112.4373694!16s%2Fg%2F11bxfwgxtk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.437,-7.456,510,4.2,Jawa Timur,Wisata Alam
Lembah Gandrung,"Ringinagung, Medowo, Kandangan, Kediri Regency, Jawa Timur 64294",Tidak Tersedia,"https://www.google.com/maps/place/Lembah+Gandrung/@-7.768797,112.382872,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78650dac48fc95:0xe51d1f59fec5a463!8m2!3d-7.768797!4d112.382872!16s%2Fg%2F11q1v2mtr6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.383,-7.769,31,4.5,Jawa Timur,Wisata Alam
Sendang Tirto Kamandanu,"Menang, Pagu, Kediri Regency, Jawa Timur 64183",Tidak Tersedia,"https://www.google.com/maps/place/Sendang+Tirto+Kamandanu/@-7.7753083,112.0795872,17z/data=!3m1!4b1!4m6!3m5!1s0x2e785a3ba512cca3:0x24b6cdfcd9e6cc3b!8m2!3d-7.7753083!4d112.0795872!16s%2Fg%2F11gy2jlsp0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.080,-7.775,1424,4.5,Jawa Timur,Wisata Alam
Wisata Goa Jepang,"3GMM+CM6, Jl. Sumber Urip, Tlekung, Kec. Junrejo, Kota Batu, Jawa Timur 65321",Tidak Tersedia,"https://www.google.com/maps/place/Wisata+Goa+Jepang/@-7.9164684,112.5341439,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78818c0bcf5f47:0x9d67b1b181c0d8a6!8m2!3d-7.9164684!4d112.5341439!16s%2Fg%2F11h2g0_fck?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.534,-7.916,101,4.2,Jawa Timur,Wisata Alam
DANAU LEMBAH ASOKA KALI PADAS,"G5V2+F49, unnamed road Area dsn sempol, Area Persawahan, Plabuhan, Kec. Plandaan, Kabupaten Jombang, Jawa Timur 61456",Tidak Tersedia,"https://www.google.com/maps/place/DANAU+LEMBAH+ASOKA+KALI+PADAS/@-7.4563486,112.1503741,17z/data=!3m1!4b1!4m6!3m5!1s0x2e783c03c7bddfdb:0x823850b066490731!8m2!3d-7.4563486!4d112.1503741!16s%2Fg%2F11f__6l7z9?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.150,-7.456,75,4.4,Jawa Timur,Wisata Alam
RTH Kebon Songo Nglinguk Trowulan,"Jl. Jayanegara No.62, Unggaran, Trowulan, Kec. Trowulan, Kabupaten Mojokerto, Jawa Timur 61362",Tidak Tersedia,"https://www.google.com/maps/place/RTH+Kebon+Songo+Nglinguk+Trowulan/@-7.565776,112.385508,17z/data=!3m1!4b1!4m6!3m5!1s0x2e786d6350972315:0x9fa722af2d1628b4!8m2!3d-7.565776!4d112.385508!16s%2Fg%2F11kk9_z2rb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.386,-7.566,18,4.6,Jawa Timur,Wisata Alam
Tawangalun Temple,"Jalan Tawang Alun, Buncitan, Sedati, Dusun Kp. Baru, Buncitan, Kec. Sidoarjo, Kabupaten Sidoarjo, Jawa Timur 61253",Tidak Tersedia,"https://www.google.com/maps/place/Tawangalun+Temple/@-7.3988428,112.7891594,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7e596460a4791:0x6a81952d3b23dc14!8m2!3d-7.3988428!4d112.7891594!16s%2Fg%2F11b7rf0qqw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.789,-7.399,319,4.3,Jawa Timur,Wisata Alam
Kebon Rojo Park,"Kepanjen, Jombang, Jombang Regency, Jawa Timur 61419",Tidak Tersedia,"https://www.google.com/maps/place/Kebon+Rojo+Park/@-7.5539537,112.2348445,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78401efe5d0b8b:0xbf044b5b9929a8e2!8m2!3d-7.5539537!4d112.2348445!16s%2Fg%2F11cjh_qzvn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.235,-7.554,5176,4.4,Jawa Timur,Wisata Alam
Monumen Asmaul Husna,"Tebuireng Gg. V, Kwaron, Cukir, Kec. Diwek, Kabupaten Jombang, Jawa Timur 61471",Tidak Tersedia,"https://www.google.com/maps/place/Monumen+Asmaul+Husna/@-7.6081213,112.2338709,17z/data=!3m1!4b1!4m6!3m5!1s0x2e786a078289023f:0xf767c9307ee3dd2a!8m2!3d-7.6081213!4d112.2338709!16s%2Fg%2F11fy91qcyb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.234,-7.608,407,4.7,Jawa Timur,Wisata Alam
